id,prediction
14,0
18,0
42,0
46,0
47,0
53,1
57,0
58,0
62,0
76,1
80,0
81,0
82,0
88,0
89,0
90,0
95,1
104,0
108,0
109,1
112,0
117,0
119,0
136,0
139,0
155,0
162,1
176,1
180,0
182,0
185,0
186,0
187,0
189,0
223,0
224,0
227,0
228,0
240,0
243,0
251,0
257,1
265,0
274,0
287,0
303,0
306,1
307,1
308,0
309,0
315,0
316,0
335,0
337,0
358,0
364,1
372,0
375,0
379,0
383,0
385,0
387,0
395,0
397,0
398,0
407,0
412,0
419,1
428,1
438,0
441,0
442,0
445,0
452,0
470,0
473,0
476,0
477,0
479,0
485,0
494,1
499,0
503,0
508,1
524,0
532,0
539,0
540,0
542,0
553,1
556,0
562,0
575,0
584,1
610,0
613,0
626,0
627,0
628,0
636,0
637,0
643,0
652,0
655,0
656,0
661,0
663,0
664,0
671,0
673,0
674,0
680,0
698,0
703,0
705,0
713,1
714,1
730,0
732,0
736,0
755,1
759,0
762,0
769,0
776,0
777,0
791,0
798,0
806,1
818,0
827,0
834,0
840,0
849,1
852,1
859,0
863,0
868,1
869,0
870,0
874,1
877,0
883,0
896,0
902,1
910,0
917,1
924,0
928,1
943,0
950,1
958,1
963,1
965,0
974,1
977,0
979,0
986,0
992,0
993,0
995,0
1001,0
1002,0
1004,1
1014,0
1021,1
1044,0
1046,0
1048,0
1057,0
1065,0
1078,0
1080,0
1083,1
1084,0
1085,0
1086,1
1097,1
1098,0
1102,1
1103,1
1112,0
1115,0
1124,0
1128,0
1133,0
1139,0
1143,0
1144,1
1146,0
1157,1
1170,0
1175,1
1179,0
1183,0
1185,1
1190,0
1195,0
1199,0
1208,0
1215,1
1218,0
1240,0
1247,0
1248,1
1254,0
1288,0
1289,0
1292,0
1299,0
1303,0
1307,0
1308,0
1323,0
1326,0
1328,0
1329,0
1335,0
1338,0
1361,0
1365,0
1373,0
1376,0
1388,0
1404,0
1405,1
1416,0
1423,0
1433,0
1434,0
1436,1
1448,0
1463,1
1466,1
1472,1
1482,0
1487,0
1504,0
1508,1
1511,0
1515,1
1526,1
1527,0
1538,0
1543,0
1554,0
1557,0
1566,0
1570,1
1580,1
1583,1
1584,0
1597,0
1600,1
1604,1
1611,1
1612,0
1618,0
1643,1
1647,0
1648,0
1654,1
1656,1
1673,1
1678,0
1681,0
1685,0
1693,0
1708,1
1719,1
1723,0
1725,0
1727,0
1747,0
1766,0
1769,0
1779,0
1780,0
1785,0
1787,1
1792,0
1794,1
1824,0
1825,0
1830,0
1837,0
1840,0
1842,0
1843,0
1868,0
1870,0
1873,0
1877,1
1881,0
1894,0
1896,1
1898,0
1907,0
1917,0
1923,0
1924,1
1925,0
1931,0
1933,0
1935,0
1936,0
1946,0
1951,0
1958,0
1961,1
1970,0
1971,1
1978,0
1982,1
1984,0
1989,0
1994,0
1997,0
2000,0
2005,0
2008,0
2019,0
2026,0
2033,0
2037,0
2042,0
2056,0
2073,1
2074,0
2084,1
2088,0
2098,0
2101,0
2104,0
2110,0
2114,0
2115,0
2118,1
2122,0
2128,0
2136,0
2139,0
2148,1
2154,0
2157,0
2159,1
2160,0
2162,1
2166,0
2172,0
2177,0
2183,0
2190,0
2195,1
2197,0
2205,0
2206,0
2214,0
2217,0
2224,0
2226,0
2235,0
2236,0
2238,0
2241,0
2242,0
2250,0
2261,0
2264,0
2265,0
2268,0
2270,0
2272,0
2277,0
2278,0
2279,0
2289,0
2304,1
2305,0
2311,0
2317,1
2318,0
2321,0
2325,0
2328,0
2335,0
2343,1
2354,0
2361,0
2363,1
2367,1
2372,1
2375,0
2380,1
2384,0
2399,0
2400,1
2401,0
2402,0
2406,0
2410,0
2416,0
2424,0
2425,0
2429,0
2431,0
2438,0
2441,0
2448,0
2459,1
2478,1
2479,0
2487,0
2488,1
2522,0
2525,1
2531,0
2533,0
2538,0
2544,1
2546,0
2550,0
2553,0
2568,1
2569,1
2580,0
2581,0
2586,0
2592,0
2600,0
2606,0
2608,1
2617,0
2620,1
2630,0
2632,1
2635,1
2641,0
2644,1
2670,0
2681,1
2705,0
2710,1
2712,1
2716,0
2720,0
2724,0
2726,0
2741,0
2743,0
2745,1
2763,0
2765,0
2767,0
2774,0
2780,0
2782,0
2785,0
2786,0
2787,0
2790,0
2811,0
2816,0
2830,0
2835,1
2837,0
2840,0
2857,0
2862,0
2866,0
2870,1
2874,0
2876,0
2893,0
2906,1
2915,0
2921,0
2923,0
2925,1
2927,0
2928,0
2929,0
2938,0
2953,0
2956,0
2962,0
2963,0
2965,0
2966,0
2971,0
2976,1
2998,1
3001,1
3002,1
3008,0
3010,0
3012,0
3017,1
3023,1
3031,0
3035,0
3040,0
3041,0
3042,0
3044,0
3047,0
3048,0
3054,0
3060,0
3063,0
3064,1
3078,0
3086,0
3090,0
3092,1
3094,0
3104,0
3121,1
3123,0
3124,0
3125,1
3130,1
3131,0
3133,0
3135,0
3148,0
3152,0
3166,0
3169,0
3180,0
3188,0
3200,0
3201,0
3214,1
3216,0
3228,0
3238,0
3241,1
3243,0
3248,0
3251,1
3267,0
3274,1
3277,0
3280,0
3287,0
3289,0
3305,0
3311,0
3316,0
3322,0
3331,1
3344,1
3345,1
3359,1
3375,0
3378,1
3380,0
3386,1
3390,0
3391,0
3392,0
3393,1
3401,0
3411,1
3413,0
3415,1
3421,0
3433,0
3445,0
3447,1
3453,0
3475,0
3478,0
3482,1
3485,0
3491,0
3494,1
3496,0
3497,0
3499,0
3502,1
3503,0
3504,1
3509,0
3516,0
3519,0
3528,0
3530,0
3533,0
3535,0
3539,1
3540,0
3548,0
3557,1
3559,0
3561,0
3564,0
3565,0
3577,0
3581,0
3582,0
3583,0
3586,0
3589,0
3594,1
3595,0
3597,0
3609,0
3610,0
3618,0
3621,0
3628,0
3641,0
3643,0
3647,0
3657,0
3659,0
3668,1
3674,1
3680,1
3692,0
3705,0
3706,1
3717,0
3728,0
3730,0
3733,1
3739,0
3743,0
3744,0
3746,0
3751,0
3755,0
3756,0
3759,0
3760,0
3773,0
3775,1
3778,1
3785,0
3788,0
3789,0
3795,1
3798,0
3805,0
3811,1
3825,0
3826,0
3837,0
3846,0
3847,0
3850,0
3853,1
3865,1
3872,0
3876,0
3879,0
3891,1
3892,0
3909,1
3911,1
3922,0
3926,0
3928,0
3933,0
3937,0
3939,0
3949,1
3950,1
3952,1
3955,1
3961,1
3962,0
3967,0
3970,0
3971,0
3976,1
3991,1
3993,0
3995,0
3998,0
4002,0
4003,1
4004,0
4011,0
4015,1
4019,0
4020,0
4027,0
4031,0
4049,0
4069,0
4091,1
4093,0
4098,0
4100,0
4104,0
4109,0
4115,0
4125,0
4133,1
4135,0
4152,0
4164,0
4175,0
4180,0
4209,0
4213,0
4215,1
4216,1
4239,0
4261,0
4275,0
4277,0
4283,0
4289,1
4296,1
4301,0
4308,1
4312,0
4314,0
4316,0
4319,0
4321,0
4327,0
4328,0
4332,0
4336,0
4339,0
4340,1
4351,0
4355,0
4356,0
4366,0
4367,0
4374,0
4395,0
4399,0
4408,0
4419,1
4420,0
4434,0
4437,1
4439,1
4442,0
4448,1
4449,0
4452,0
4460,0
4463,0
4464,0
4466,0
4467,0
4474,0
4478,0
4495,0
4502,0
4506,0
4516,1
4528,1
4532,0
4535,0
4536,0
4537,0
4541,0
4547,0
4550,0
4551,0
4559,0
4564,1
4571,0
4587,0
4597,0
4598,0
4605,0
4606,0
4610,0
4617,0
4618,0
4622,0
4623,1
4633,1
4638,0
4662,0
4670,0
4675,0
4682,0
4685,1
4688,0
4695,0
4696,1
4700,0
4707,0
4711,0
4719,0
4721,1
4737,0
4740,0
4742,1
4745,0
4753,0
4754,0
4766,0
4785,0
4788,1
4789,1
4797,0
4799,0
4807,0
4812,1
4813,0
4817,1
4818,0
4826,0
4837,0
4842,1
4844,0
4851,0
4859,0
4872,0
4873,0
4882,0
4883,1
4887,0
4891,1
4895,1
4897,0
4900,0
4907,0
4916,1
4920,0
4924,0
4928,0
4931,1
4940,1
4945,0
4947,0
4949,0
4951,0
4952,0
4955,1
4961,0
4973,0
4981,0
4987,0
4989,0
4990,0
5000,1
5001,0
5006,0
5018,1
5020,0
5039,0
5041,1
5046,0
5053,0
5055,1
5060,1
5072,0
5075,0
5076,0
5083,1
5088,0
5097,0
5101,0
5107,1
5112,1
5114,1
5118,0
5120,0
5132,0
5133,1
5136,0
5143,0
5144,0
5151,0
5161,0
5164,0
5171,0
5176,0
5186,1
5195,0
5205,0
5233,0
5235,0
5237,1
5244,0
5257,0
5267,1
5274,0
5281,0
5282,0
5284,0
5294,1
5319,0
5322,0
5327,0
5335,1
5339,1
5340,0
5362,0
5365,0
5381,1
5397,0
5410,0
5412,0
5414,0
5421,1
5424,0
5429,1
5436,1
5438,0
5439,0
5449,0
5471,0
5482,0
5483,0
5489,0
5495,1
5499,1
5504,0
5509,1
5517,1
5531,0
5533,1
5535,0
5549,0
5561,0
5563,0
5572,1
5575,1
5583,0
5588,0
5592,0
5594,1
5597,0
5600,1
5602,0
5612,0
5614,0
5628,0
5629,0
5644,0
5645,0
5649,0
5654,0
5656,0
5661,0
5665,0
5673,0
5678,0
5683,1
5693,0
5697,0
5704,0
5711,0
5713,1
5714,0
5715,0
5716,0
5737,0
5748,0
5764,0
5765,0
5766,0
5775,0
5795,0
5797,0
5806,0
5819,0
5835,1
5847,1
5849,0
5854,0
5860,1
5861,0
5865,0
5875,0
5878,0
5881,0
5882,1
5891,0
5904,0
5908,0
5913,0
5915,0
5932,0
5933,0
5936,0
5937,0
5939,0
5940,0
5941,1
5952,0
5953,1
5959,0
5964,0
5972,0
5999,0
